date,year,month,country,arrivals,month_sin,month_cos,lag_1,lag_12,rolling_mean_3
2020-01-01,2020,1,AFGHANISTAN,65.0,0.49999999999999994,0.8660254037844387,38.0,49.0,52.666666666666664
2020-02-01,2020,2,AFGHANISTAN,64.0,0.8660254037844386,0.5000000000000001,65.0,47.0,55.666666666666664
2020-03-01,2020,3,AFGHANISTAN,17.0,1.0,6.123233995736766e-17,64.0,59.0,48.666666666666664
2020-04-01,2020,4,AFGHANISTAN,0.0,0.8660254037844387,-0.4999999999999998,17.0,38.0,27.0
2020-05-01,2020,5,AFGHANISTAN,0.0,0.49999999999999994,-0.8660254037844387,0.0,2.0,5.666666666666667
2020-06-01,2020,6,AFGHANISTAN,0.0,1.2246467991473532e-16,-1.0,0.0,12.0,0.0
2020-07-01,2020,7,AFGHANISTAN,0.0,-0.4999999999999997,-0.8660254037844388,0.0,47.0,0.0
2020-08-01,2020,8,AFGHANISTAN,0.0,-0.8660254037844385,-0.5000000000000004,0.0,54.0,0.0
2020-09-01,2020,9,AFGHANISTAN,0.0,-1.0,-1.8369701987210297e-16,0.0,50.0,0.0
2020-10-01,2020,10,AFGHANISTAN,0.0,-0.8660254037844386,0.5000000000000001,0.0,22.0,0.0
2020-11-01,2020,11,AFGHANISTAN,0.0,-0.5000000000000004,0.8660254037844384,0.0,55.0,0.0
2020-12-01,2020,12,AFGHANISTAN,0.0,-2.4492935982947064e-16,1.0,0.0,38.0,0.0
2022-01-01,2022,1,AFGHANISTAN,0.0,0.49999999999999994,0.8660254037844387,0.0,65.0,0.0
2022-02-01,2022,2,AFGHANISTAN,2.0,0.8660254037844386,0.5000000000000001,0.0,64.0,0.6666666666666666
2022-03-01,2022,3,AFGHANISTAN,16.0,1.0,6.123233995736766e-17,2.0,17.0,6.0
2022-04-01,2022,4,AFGHANISTAN,0.0,0.8660254037844387,-0.4999999999999998,16.0,0.0,6.0
2022-05-01,2022,5,AFGHANISTAN,1.0,0.49999999999999994,-0.8660254037844387,0.0,0.0,5.666666666666667
2022-06-01,2022,6,AFGHANISTAN,0.0,1.2246467991473532e-16,-1.0,1.0,0.0,0.3333333333333333
2022-07-01,2022,7,AFGHANISTAN,2.0,-0.4999999999999997,-0.8660254037844388,0.0,0.0,1.0
2022-08-01,2022,8,AFGHANISTAN,0.0,-0.8660254037844385,-0.5000000000000004,2.0,0.0,0.6666666666666666
2022-09-01,2022,9,AFGHANISTAN,0.0,-1.0,-1.8369701987210297e-16,0.0,0.0,0.6666666666666666
2022-10-01,2022,10,AFGHANISTAN,0.0,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0
2022-11-01,2022,11,AFGHANISTAN,7.0,-0.5000000000000004,0.8660254037844384,0.0,0.0,2.3333333333333335
2022-12-01,2022,12,AFGHANISTAN,11.0,-2.4492935982947064e-16,1.0,7.0,0.0,6.0
2023-01-01,2023,1,AFGHANISTAN,9.0,0.49999999999999994,0.8660254037844387,11.0,0.0,9.0
2023-02-01,2023,2,AFGHANISTAN,2.0,0.8660254037844386,0.5000000000000001,9.0,2.0,7.333333333333333
2023-03-01,2023,3,AFGHANISTAN,1.0,1.0,6.123233995736766e-17,2.0,16.0,4.0
2023-04-01,2023,4,AFGHANISTAN,1.0,0.8660254037844387,-0.4999999999999998,1.0,0.0,1.3333333333333333
2023-05-01,2023,5,AFGHANISTAN,24.0,0.49999999999999994,-0.8660254037844387,1.0,1.0,8.666666666666666
2023-06-01,2023,6,AFGHANISTAN,6.0,1.2246467991473532e-16,-1.0,24.0,0.0,10.333333333333334
2023-07-01,2023,7,AFGHANISTAN,30.0,-0.4999999999999997,-0.8660254037844388,6.0,2.0,20.0
2023-08-01,2023,8,AFGHANISTAN,41.0,-0.8660254037844385,-0.5000000000000004,30.0,0.0,25.666666666666668
2023-09-01,2023,9,AFGHANISTAN,21.0,-1.0,-1.8369701987210297e-16,41.0,0.0,30.666666666666668
2023-10-01,2023,10,AFGHANISTAN,5.0,-0.8660254037844386,0.5000000000000001,21.0,0.0,22.333333333333332
2023-11-01,2023,11,AFGHANISTAN,25.0,-0.5000000000000004,0.8660254037844384,5.0,7.0,17.0
2023-12-01,2023,12,AFGHANISTAN,16.0,-2.4492935982947064e-16,1.0,25.0,11.0,15.333333333333334
2024-01-01,2024,1,AFGHANISTAN,26.0,0.49999999999999994,0.8660254037844387,16.0,9.0,22.333333333333332
2024-02-01,2024,2,AFGHANISTAN,21.0,0.8660254037844386,0.5000000000000001,26.0,2.0,21.0
2024-03-01,2024,3,AFGHANISTAN,18.0,1.0,6.123233995736766e-17,21.0,1.0,21.666666666666668
2024-04-01,2024,4,AFGHANISTAN,0.0,0.8660254037844387,-0.4999999999999998,18.0,1.0,13.0
2024-05-01,2024,5,AFGHANISTAN,20.0,0.49999999999999994,-0.8660254037844387,0.0,24.0,12.666666666666666
2024-06-01,2024,6,AFGHANISTAN,2.0,1.2246467991473532e-16,-1.0,20.0,6.0,7.333333333333333
2024-07-01,2024,7,AFGHANISTAN,15.0,-0.4999999999999997,-0.8660254037844388,2.0,30.0,12.333333333333334
2024-08-01,2024,8,AFGHANISTAN,18.0,-0.8660254037844385,-0.5000000000000004,15.0,41.0,11.666666666666666
2024-09-01,2024,9,AFGHANISTAN,5.0,-1.0,-1.8369701987210297e-16,18.0,21.0,12.666666666666666
2024-10-01,2024,10,AFGHANISTAN,7.0,-0.8660254037844386,0.5000000000000001,5.0,5.0,10.0
2024-11-01,2024,11,AFGHANISTAN,5.0,-0.5000000000000004,0.8660254037844384,7.0,25.0,5.666666666666667
2024-12-01,2024,12,AFGHANISTAN,61.0,-2.4492935982947064e-16,1.0,5.0,16.0,24.333333333333332
2025-01-01,2025,1,AFGHANISTAN,6.0,0.49999999999999994,0.8660254037844387,61.0,26.0,24.0
2025-02-01,2025,2,AFGHANISTAN,15.0,0.8660254037844386,0.5000000000000001,6.0,21.0,27.333333333333332
2025-03-01,2025,3,AFGHANISTAN,2.0,1.0,6.123233995736766e-17,15.0,18.0,7.666666666666667
2025-04-01,2025,4,AFGHANISTAN,21.0,0.8660254037844387,-0.4999999999999998,2.0,0.0,12.666666666666666
2025-05-01,2025,5,AFGHANISTAN,10.0,0.49999999999999994,-0.8660254037844387,21.0,20.0,11.0
2025-06-01,2025,6,AFGHANISTAN,2.0,1.2246467991473532e-16,-1.0,10.0,2.0,11.0
2025-07-01,2025,7,AFGHANISTAN,1.0,-0.4999999999999997,-0.8660254037844388,2.0,15.0,4.333333333333333
2025-08-01,2025,8,AFGHANISTAN,3.0,-0.8660254037844385,-0.5000000000000004,1.0,18.0,2.0
2025-09-01,2025,9,AFGHANISTAN,5.0,-1.0,-1.8369701987210297e-16,3.0,5.0,3.0
2025-10-01,2025,10,AFGHANISTAN,4.0,-0.8660254037844386,0.5000000000000001,5.0,7.0,4.0
2025-11-01,2025,11,AFGHANISTAN,3.0,-0.5000000000000004,0.8660254037844384,4.0,5.0,4.0
2025-12-01,2025,12,AFGHANISTAN,7.0,-2.4492935982947064e-16,1.0,3.0,61.0,4.666666666666667
2020-01-01,2020,1,ALBANIA,33.0,0.49999999999999994,0.8660254037844387,27.0,48.0,29.0
2020-02-01,2020,2,ALBANIA,38.0,0.8660254037844386,0.5000000000000001,33.0,33.0,32.666666666666664
2020-03-01,2020,3,ALBANIA,26.0,1.0,6.123233995736766e-17,38.0,54.0,32.333333333333336
2020-04-01,2020,4,ALBANIA,0.0,0.8660254037844387,-0.4999999999999998,26.0,43.0,21.333333333333332
2020-05-01,2020,5,ALBANIA,0.0,0.49999999999999994,-0.8660254037844387,0.0,40.0,8.666666666666666
2020-06-01,2020,6,ALBANIA,0.0,1.2246467991473532e-16,-1.0,0.0,31.0,0.0
